"long","lat","order","hole","piece","id","group"
1434328.34983633,-2243169.06093452,908690,FALSE,"1","72","72.1"
1434563.80291357,-2242971.49754185,908691,FALSE,"1","72","72.1"
1434784.97436649,-2242785.84887879,908692,FALSE,"1","72","72.1"
1435188.24092121,-2242554.06944411,908693,FALSE,"1","72","72.1"
1435605.99073917,-2242304.71561197,908694,FALSE,"1","72","72.1"
1436012.89315071,-2242087.11492709,908695,FALSE,"1","72","72.1"
1436342.28812062,-2241949.00982692,908696,FALSE,"1","72","72.1"
1436373.53679331,-2241935.87111445,908697,FALSE,"1","72","72.1"
1436395.66601418,-2241926.4781182,908698,FALSE,"1","72","72.1"
1436733.90525,-2241862.28856015,908699,FALSE,"1","72","72.1"
1437013.51822292,-2241591.29221909,908700,FALSE,"1","72","72.1"
1437307.33334568,-2241433.58085146,908701,FALSE,"1","72","72.1"
1437593.83618894,-2241262.8505404,908702,FALSE,"1","72","72.1"
1437975.10741493,-2241007.69634123,908703,FALSE,"1","72","72.1"
1438325.58777089,-2240827.85206523,908704,FALSE,"1","72","72.1"
1438526.15686979,-2240745.28768586,908705,FALSE,"1","72","72.1"
1438849.92946343,-2240612.12747507,908706,FALSE,"1","72","72.1"
1439945.44500157,-2240166.15064502,908707,FALSE,"1","72","72.1"
1440876.28108004,-2239879.13414882,908708,FALSE,"1","72","72.1"
1441609.04813224,-2239728.49609521,908709,FALSE,"1","72","72.1"
1442125.81076826,-2239670.03446986,908710,FALSE,"1","72","72.1"
1442139.59516567,-2239668.43100965,908711,FALSE,"1","72","72.1"
1442309.45895903,-2239558.73470704,908712,FALSE,"1","72","72.1"
1442513.48623502,-2239463.47917503,908713,FALSE,"1","72","72.1"
1442842.06100365,-2239385.7755938,908714,FALSE,"1","72","72.1"
1443372.41810555,-2239254.94968461,908715,FALSE,"1","72","72.1"
1443672.25720795,-2239072.74468124,908716,FALSE,"1","72","72.1"
1444048.09005872,-2238856.43705267,908717,FALSE,"1","72","72.1"
